"","x"
"89","i dont mind fresh and hotbut when you have to waitminutes to order and anotherminutes to receive the order plus bad attitudenot a good mixtry two cashiers when you gotpeople or more in one linethat would cut the firstminutes"
"90","i live slightly closer to this mcdonalds than the one next to perimeter mall „‚even though the mcdonalds next to perimeter mall is farther away and always has traffic around it i pick it over this location „‚its old and dirty and has a monopoly for fast food in this area „‚if it wasnt a mcdonalds it would fail „‚its actually a testament to how strong the mcdonalds name is „‚this location is awful"
"91","the drive thru might be the worst „‚ive gone through a few times „‚the staff is rude and when they short your order your made to feel like its your fault"
"92","and still french fry champthe burger taste not sop much but this location fast and friendly"
"93","lets start here only reason i came into mcdonalds waste time till girlfriend flight arrives and „‚for my duaghters i dont eat fast food ordered two happy meals slow service while ordering my food „‚a guy ask the cashier two use his cell in the middle of my order that was strike one then give me little boy toys knowing i have twin girls stabding right in front of him im glad i will never have to return here i live way in sandy springs i can see the difference between service and the staff the building it self is brand new change your staff this is blackmac not mcdonalds im black myself but telling the truth"
"94","one star because mcdonalds is not food its engineered matter that just happens to be edible but i thought id review this mcdonalds in particular its the last mcdonalds i ever ate at the year wasand in the dark of night in the cool spring air my friends and i stumbled out of a casino drunk from free beer and poor from expensive gambling it wasam and although our appetites were ginormous our options were limited we happened upon this mcdonalds where they were offering double cheeseburgers fori ordered three my companions followed suit we sat down among the other customers three older men sparsely seated and desperate to stay awake lest they be thrown out in the street amongst the crumpled pornographic business cards one man chewed with his eyes closed another bobbed his head up and down either he was falling in and out of sleep or agreeing with everything the last man was not so far gone but was the dirtiest of them all once our burgers were consumed we headed out i was glad to leave only sleep lay before me now"
"95","hot fries i like"
"96","stopped off at this location aroundam on a weekday and had to be to work by am „‚getting to this place can be a hassle because of where my work is located „‚however i stopped because they had thatsausage egg mcmuffins for„‚i wanted to get some for my team „‚got to the drivethru and told the lady what i wanted which was the „‚ sausage egg mcmuffin special „‚she said were out of sausage „‚naturally i questioned her again but it was true this mcdonalds was out of sausages „‚i simply drove offit was a hassle to get there and on top of that they ran out of a product they were advertising „‚lets just say i wont be taking the extra effort to visit that location"
"97","keep drivingon this day they were only accepting cash i wanted to order a drink at the window where i paid and she she said i couldnt more like she wouldnt kids shakes were dripping and messy so when i asked for extra napkins to clean up her mess the dingdong gives me one napkin then i tell them napkins were not in the bags and when i asked for more they hand me one napkinthis is when you give up and drive away"
"98","this mcdonalds has gotten much better usually my order would be wrong every single time so i would not leave that window until i checked every single item i only hit up fast food once a month or so and it needs to be worth it also the fries used to be cold and the cheese on the burger was never melted everything was just lukewarm now my order has been right a few times in a row and my food hot also i love dining room usually you wouldnt find me actually inside a fast food joint but this place has nice flooring stacked stone lots of large windows and a flat screen tv usually on hln sometimes its nice to sneak away for a quick weekend breakfast you know a little budget and time friendly mommy and me date"
"99","the evening manager here is very nice and has a great attitude i went inside of this mcdonalds one afternoon when the drive through was backed up and the manager helped me immediately she was the only person who actually looked like she was happy to help customers which made me very comfortable it looked like she even gave me a little extra fries"
"100","my wife and i have been to this mcdonalds abouttimes since the rebuild there is a whole new staff of people working there in thevisits we have yet to get a complete order i went inside the restaurant this evening in hopes of eliminating the issue we had been having i orderedquarter poundersapple pies andhamburger i was given my order to go missing theapple pies and hamburger beware if you go to this mcdonalds and check your order"
"101","i visited mcdonalds on decati boughtcheese burgerslarge fries andorders of pies „‚they charged me forfries so i went back into store and told the cashier she denied i said „‚ i orderedfries „‚then manager came over and said whats the problem i told him and he said looked into the bag grabbed the xtra fries and lterally threw them into the waste bucket by the drive tru from the cashier„‚then reached into cash register and gave me change for the fries „‚then i said thank you and he said ok boss and i left „‚i then called mcdonalds people via the nimber on the website after i ate i told then i was going to wait to yelp after i heard from mcdonalds „‚still no call or email „‚as a side note tom n „‚the otther yelper is right they are very rude there and seem bothered to help you and not at all nice to the kids „‚the play room is sticky and the video games in ther always cause an altercation with kids and parents „‚the only reason i gavestars was because the fries were hot and the sweet potatoe fries were good and warm"
"102","minutes in drive through line gunshots from the apartments behind „‚worst mcdonalds ever"
"103","the ice cream machine is always down afterpm if you want a hot fudge sundae dont even bother"
"104","just having come from a trip at the hotel across the street from this little wonder i got to speaknight one about midnight i go in there are aboutpeople waiting in line fewer are behind the counter the lights are onmister manager announces we close forminutes order later curious rude dismissivenight two the layout of the place makes for poor line control from s las vegas blvd won walks into a box type eating area then for no good reason the ordering counters swing to an angle one is challenged as to were the line is and which line they are inthe management staff was rough with staff and the staff seemingly part of the clinton welfare reform failurepeople working in a mcdys on the strip need a certain group of skillsthe ones at this mcdys lacked skills"
"105","i wish i could give no stars i have literally had to call so many times to complain that ive stopped because its clear no one there give a fuck about their customers mcdonalds corp just had the owner if this location call me and all she did was question me about all the issues as if i was the one who seemed sketchy i even told them i dont want free food just get my order right"
"106","my mom and i went here for sodas around the night i moved back they tasted normal my husband and i got sodas this morning and i cant even describe how awful they tasted we promptly threw them out and went somewhere else on top of that the panhandlers and drug addicts asking for money both times is ridiculous plus we could barely understand the lady talking through the order box in the drive throughdont go here"
"107","worst mcdonalds in the history of mcdonalds all of their employees are rude serve cold food and have bad attitudes your better off with taco bell „‚a mile away dont waste your time or money"
"108","i have to say this mcdonalds sucks dont get me wrong i love mcdonalds but this particular location has some of the worst employees in fast food"
"109","the lasttimes we been to this mcdonalds they screw up the order at the drive thru and walk in the guy with the afro dont care i think hes a manager"
"110","we are retired and have gone to this mcdonalds since they built it two blocks from our house „‚this last year it has gone down hill „‚they are out of things often week after week „‚the service has become poor „‚some of the long time employees are good but the bad now outweighs the good at that locationthe street people hitting you up in the drive through and inside but the managers will do nothing about them „‚talked to the owner and he said he would see thing get better but they did not after all these years we decided we no longer need mcdonalds and have not been in three months „‚we have ten grandkids that are not missing it either „‚poor service has cost them a lot when you think about it over the years"
"111","getting little miss some ice cream since she had a great day at school she loves the sundae with mms staff was super sweet and efficient which is surprising for this particular location maybe management finally took everyones complaints seriously"
"112","remember when i said i never eat at mcdonalds „‚i think i did „‚i vaguely remember a fried chicken sandwich sometime around am „‚i think i might have slept in it which wouldnt have been too bad since i think it was soggy anyway „‚drunk vegas and vacation are my excuses and im sticking to em"
"113","starts as good still serving breakfast im happy ok then the mccafe machine is broke ok screw it ill just by starbucks next order taken employees shift change and forget to make my food all i can say is are you kidding me"
"114","this is the most disgusting mcdonalds on the planet „‚doubt me „‚go into this nauseating cesspool and find out for yourself „‚i was shocked because it was in a very nice area and has a playground „‚it is by far the nastiest mcdonalds i have ever been into"
"115","avoid the drive through in the eveningsfood takes too long the people taking orders and at the window are not professional at allif i do plan on going to this mcdonalds at night i always have a better experience walking in"
"116","this has to be the worst mcdonalds within amile radius the staff are young rude untrained kids from the local middle school and the drivethrough is really painfull this location should be closed down or sold to someone who knows how to run a mcdonalds theyre always out of something theres never a cashier in the first drive through window where your supposed to pay so people sit in their cars and wait for a cashier to magically appear to take their moneynot happening so then you decide to walk in to order thinking youll get your order faster and not missing somethingwrong as you stand there and wait for them to make and bag your order your watching the car that would have been behind you in the drivethrough leave wtf next time im getting mexican food"
"117","this mcdonalds has the slowest drivethru service ive ever experienced once or twice weve even gotten out of line and left because it was so bad i really dont know what their problem is its bad every single time ive been there despite the hour despite the number of cars in linethere are two reasons why i continue to return to this mcds the first is its convenient location the second my food is always hot and prepared correctly despite the ridiculously slow line ive never received cold fries or a wrong order im not sure what theyre doing back there to make things run so agonizingly slowly but my food always comes out fine"
"118","i gotta wake my ass up at six am every day of this week and drag myself up to vascalinas yeah im doing the drywall up there at the new mcdonaldsoffice space so what a difference a complete overhaul makes „‚this location was recently leveled and rebuiltand they did a completeand when i say that the building was even rotated bydegreesso this is in an area where most of the streets around it are one way so it can be confusing to get in and out ofand the previous drivethru began and ended in different places „‚now they redesigned the place so that it makes more sense and the flow works even better than beforeand the previous location was there foryears „‚wowthe new one is sleek clean modern and beautiful „‚the drivethru staff was super friendly i was buying a sprite for heavens sake and both the young lady who took my money and the one who handed me my drink said we hope to see you back here again soon „‚thats great service personable and i would be happy to return not that i do mcds very often „‚but im more apt to come to this one than any other"
"119","i stopped at this mcdonalds because i had about two minutes to grab lunch the only reason i ever eat at a mickey ds is because its a fast b cheap and c predictable you know the food wont be awesome but it will be reasonably eatable man was i disappointed on points b and cfirst the medium quarter pounder meal was more than six bucks jeez thats hardly a dealwhat made the sticker shock worse was the poor quality of the food this had to be the worst quarter pounder ive ever half eaten maybe even the worst fast food burger ive ever had it looked like it had been sitting out on uncle zekes radiator all morning the burger patties were gray and curled up at the edges the bun was dry and crusty its like the damn thing was somehow mummified just nasty too bad i didnt have time to take it backthis will probably be the very last time i ever eat at a mcdonalds it was that bad"
"120","it is what it is so im mclovin it"
"121","terrible service staff was too busy chatting with each otheri left with mychildren after waitingmin to place an order i will never return to this mcdonaldsi will take my business elsewhere and recommend you do the same"
"122","im not ashamed to admit that im a fan of fast food but this mcdonalds is always slow and the freshness of the food is hit or miss i also feel like its one of the few mcds that hasnt been remodeled to the newer design"
"123","a captive audience of transient visitors and exhausted staff are the only way this mcdonalds which is basically the only food option at northside hospital could possibly stay in business"
"124","what do you expect its a mcdonalds you go here for bad coffee and even worse food i usually get annoyed when i receive poor service but i should temper the urge to write about it based on the location and the service they are providing if you want better service andor better food go to a starbuck and spend a few more pennies this is just an average runofthemill mcdonalds"
"125","awful „‚ why install the equipment to display drive thru orders to guest when its never used „‚ why have an automated person tell you to order when no is ever listening and you always have to repeat orders „‚ whoever built that place wasted a ton of money on technology and did a lousy job training them to use it „‚ drive to one onits much better „‚grayson hwy is the absolute best for breakfast „‚ i go the long way to work just to stop therethe new one has issues"
"126","worst mc donalds in all of atlantamin stop every time even if they have no customers straight ridiculous i live across the street and refuse to stop there nope i will never give anyone my money who to a location doesnt value and appreciate it same manager every time common trend called regional pretended to care either way only thing they will give you is cold food after amin wait a major headache and crappy service skip this stop"
"127","i am only giving this location one star because you cant give zero stars this location cant get anything right first my order is wrong or incompleteout oftimes second the food comes out cold or the fries will not be salted often third a managershift supervisor was extremely rude to me simply because i went through the drive thru w two separate orders fourth if you want ice cream its a crap shoot you never know if the machine will work terrible worst mcdonalds on the planet"
"128","they have signs posted telling you that you are only allowedminutes to consume your food and then you must vacate that seems a bit pushy"
"129","this is the slowest mcdonalds i have ever been too it tools betweenminutes to get your food inside and at leastminutes for drive through ever since they have opened they have always been slow"
"130","best mcdonalds ice cream is here"
"131","dont tell anyone but i like mcdonalds coffee better than starbucks i rather have mcdonalds coffee over any other coffee in the world this mcdonalds location would have gottenstars aboutmonths ago but things have changed a few months ago the workers were really cool but now they have all just gotten really fcking weird its almost like one of those s bhorror movies where one of the workers gets infected with the zombievampirewerewolf virus and then comes to work the next day and spreads it to all his coworkers „‚thats the only logical explanation because every worker here has transformed into mcdumbassesi want to remind you that this is summerlin so that means that everyone runs stop signs no one yields for pedestrians „‚and everyone argues over the stupidest most insignificant things watch out when you are entering this drivethru because there is a huge chance that some douchebag in a bmw will run the stop sign in order to cut in front of youwhen i drove up to the box there was no answer aboutminutes later i begin hearing a ton of static and then this bizarre sounding guy starts talking in this strange tone he sounded like a drunk orson wells when i pulled up to the first window to pay the window slowly slid open to reveal the face of a morbid looking kid with gigantic dilated eyes and one of those horror movie smiles immediately he lets out this high pitched reeehhhhhhhhhhhhhh noise at me at that particular moment due to the fear of manrape i thought about driving over the planters and escaping but he looked so weird that i came to the conclusion that he might have some kind of paranormal super powers and would catch me no matter how fast i drove so i just sat there and awaited my fate after aboutseconds he told me how much my coffee cost in a disturbingly soft tone voice and thankfully he didnt serve me mcrape „‚when i drove up to the pickup window i was greeted by an anorexic looking latino kid who didnt even give me eye contact and while holding the coffee he sticks his arm out the window and just drops it before i even have the chance to reach out to grab it it was a miracle that i caught the thing in mid air „‚i was glad to get the mcfck out of there"
"132","this location has the new strawberry creme pies the healthscore is aas of the drive thru cashier was really nice but my fries were far too crispy too be any good"
"133","well its mcdonalds so you know what the food is „‚this review reflects solely on the poor service „‚i have been to this location countless times over the years „‚they consistently fail on the service end of things „‚the order takers tend to be rude no smiles and a lot of sighs and lip smacking when you talk to them „‚so why go back you ask this store benefits from being the only place to eat in this area „‚the next stop is at leastminutes away on the other side of town „‚also i strongly believe in nd chances and know that not every business can satisfy everyoneof the time „‚i have given them many chances at earning a positive review „‚i could not recommend this location any less „‚if you can wait take a pass „‚there are better mcdonalds stores in griffin ga"
"134","customer service is well below par here i placed my order through the intercom and was told that id have to pay in separate transactions if i were to use more thancoupon i expected that and was fine with it up until i got to the window in which one of the girls working the cashier had a problem with me using the coupons and i quote mentioned i dont give a d and a f what she wants i never make it a goal to be difficult to other people and i find it very rude let alone unnecessary that i received this treatment it is part of your jobs duties to simply put in a customers order if you dont like your job you have no business being there and there are plenty of job seekers out there who would be more deserving of your position to top it off after i left the restaurant i opened my bag to find out that i didnt receive everything i ordered and paid for"
"135","i dont know what the deal is with this location but they are ridiculously slow even if my order is a pre made salad and iced coffee and there is no one else in the drivethru lane it still takes forever"
"136","if i could give this mcdonalds a negative star i would „‚absolute worst mcdonalds i have ever been to „‚they never get your order right „‚the kids taking your order are usually texting or on their cell phones while you are trying to order „‚the fry containers are always half empty „‚they always have a hand written sign hanging up on the drive thru that explains what they are out of „‚one time it was hamburger patties „‚we live around the corner but choose to drive an extraminutes and go to any mcdonalds that is not owned by the lipscombsmith franchisee terriblef"
"137","this place is absolutely horrible the lasttimes i have gone there they have gotten the order wrong this last time was the final straw they not only got the order wrong but the food they did give us was cold the chicken sandwich was cold and felt like cardboard the fries were completely disgusting and soggy like they had been redropped in the fryer the manager on duty was an absolute joke aubrey the manager did not offer to remake the food i had to demand a refund from him and then asked if it would be remade and he said oh you want it redone this is the absolute worst mcdonalds and upper management should be ashamed of the level of service that is provided to their customers and the horrible quality of their food"
"138","the first time i went here they smothered my burger with mustard and ketchup to where it was dripping on me and the past two times i have been here the fries are old and dark and they put like one peice of bacon on my burger they offered me free fries tomorrow ha horrible place to eat"
"139","this was the worst mcdonalds in all of las vegas „‚my daughter wanted a breakfast burrito and i needed a coffeecar in front in of me andminutes stuck in the drive thru whos the manager i didnt see one person that was capable of being in charge of running that place next tiem i decide to go to mcdonalds by my job i will hop on the freeway and go to another one and still return to work faster then running across the street to this one"
"140","the sweet tea and fries are always good but everything else on this menu at this location is meh the burgers are arguably the worst i had at any mcdonalds sadly"
"141","discustingdirty „‚if it werent for my gson i would have left i took pictures i hope you can see whats going on here"
"142","ive only been to this mcdonalds twice and both times were bad experiences not only does the place smell of dirty rags and cleaner solutions but the service is bad as well i guess the convenient location is what keeps this place open but for me ill never come back"
"143","i kinda wish there were negative stars this mcdonalds charged my card the wrong amount and didnt tell me anything until i looked at my account and went back they said my money will be returned to my account within hours nowdays later my money is still not in my account also ive been to other mcdonalds with long drive thru lines but they are moving at an okay pace this mcdonalds drive thru lines are the slowest ive been in"
"144","the worst mcds ive ever been to tried to get a quick snack during our long drive and it was the worst decision the dual lane drive through is anything but fast one car in front of me but somehow the other lane was the only one moving someodd minutes later we finally ordered one of the cars in front of me obviously knew somebody in the place and just kept talking at the window it wouldnt have been a big deal if it hadnt continued for so long afterminutes of sitting in this line fighting the urge to just drive off and watching the multiple levels of poor service we finally got our snack and the freaking fries were cold i should have takenminutes to read the reviews before i went here and it would have stopped me from ever going you would think after all that time at least the food would be hot ha just do yourself a favor and find another mcds to visit truly a disappointing stop"
"145","only the fact that its a mcdonalds is what earns it astar „‚the staff at this location can vary from customer service focused to blatant disregard about anything other than accepting your food order and taking your payment my last visit was a combination of the two when i placed my order an the drive thru intercom the order was taken correctly total given thanked and asked to drive around to the window by the time i got around to the window the person that was to take my money and give me my food was way more interested in an argument that was going on outside in the parking lot between two young ladies and the two young men they were withill admit that i too paid attention to the fight in the parking lot to make sure it didnt escalate into gunfire with my car sitting center mass of it all about six months ago someone told me they got robbed while sitting in the drive thru at this location but they were there around am and my visit was taking place at pm so i wasnt worried about getting robbed as much as i was about getting shotafter making sure that the parking lot was not about to be shot up he accepted my cash asked me if i wanted to wait a minuite and get some hot fries „‚i did and i didsure ill go back „‚i love mcdonalds friesof"
"146","i usually dont have problems with this location even though i get irritated with their employees attitudes sometimes today however my experience annoyed me more than usual because of the dumb people who work there the one worker that i absolutely dread encountering is the slightly older woman with glasses who is on the heavier side she has the worst attitude out of all the workers there and it is clear that she hates her job she is just not friendly at all and can never get an order right when i drove up to the pick up window a teenage employee was there and gave me my bag of food i ordered two combos i waited aboutseconds for my drinks and he was awkwardly standing there wondering why i didnt drive off yet then he asked are you waiting for something else that should be it i said we ordered drinks too he looks behind him and there are my drinks oh he exclaims as i am situating the drinks into my cup holders i hear him say here when i turn around towards the window half of his arm is in my car and the straws almost hit my face wtf i was so irritated by his incompetency also one thing that i dont like is how two drivethru speakers are built but the employees are always confused by which one to use for example i would order at the first speaker when there is a long line i get stuck at the second speaker and a worker tries to take my order there when i already ordered at the first one sometimes i tell them that ive already ordered and sometimes i ignore them even when theyre constantly asking hello are you ready to orderincompetent workers and a confusing drivethru so annoying"
"147","i see im not the only one givingstar only because there is not astar thats all i need to say"
"148","this mcdonalds is located at the food side entrance of the nellis at craig walmart super center at the time that i stopped in walmart on the way to utah i ate breakfast here this mcdonalds exceeded my expectations i expected a shoddy mcdonalds in one of the las vegas valley s older super centers instead i was eating in a clean and surprisingly cozy mcdonalds i am under the impression that it was recently refurbished the interior shows off mcdonalds history through portraits of the first mcdonalds the booths are extraordinary comfortable for „‚a mcdonalds disparate from a few las vegas valley walmart mcdonalds this location offers more breakfast items including the egg mcmuffin „‚on my visit they served me the egg mcmahon meal in a short period of time the coffee was hot and i left satisfied „‚keep in mind that i ate here aroundam before the saturday morning rush so i have not seen how this mcdonalds is when there is a rush of people"
"149","this is the mcdonalds inside the northside hospitalfor being the only option to get something to eat evidently they dont have a proper cafeteria like most hospitals do it had to docomplete disorganization are the only two decent words i can come up for this place „‚there was a huge rush of people oddly enough that evening and the staff had no clue what to do „‚orders were wrong missing items and the wait time was unbearable"
"150","the service at this mcdonalds is so bad its almost comical case in point there was about a two week stretch where i would go to mcdonalds every morning before work to get an iced vanilla latte every day i kid you not they got my order wrong and made me a hot latte instead this would not be a problem but they questioned me every time if i was sure that was what i ordered yes it even showed it on your fancy digital menu then they would ask me to pull up and waitminutes for my order to be corrected my bf and i went inside once to order and they got his order wrong the woman just stood there and looked at us when we told her and my bf was like but i guess i can eat this later when we went up and asked for sauce she gave us the biggest eyeroll upon seeing us and acted like it was physically painful for her to serve us these are only a couple of examples of the horrible service we have had but i guess thats typical for a mcdonalds attached to a gas station"
"151","worst mcdonalds ever if youre looking for customer service this is definitely not the place „‚how hard is it to get an order right or i dont know „‚how hard is it to work the drive thru window and pretend to know what your doing ugh"
"152","the staff is really nice but kind of slow at this location „‚i asked what type of sauce they had and the cashier looked at me like she saw a ghost „‚i am not that pale „‚all i wanted well not really were some chicken nuggets to feed to my starving kids „‚if i had passed somewhere else with a drive thru i would have gone there but this was my only option „‚when i pulled up to get mycount i was handed a small bag with a small fry „‚i asked the guy why he was handing it to me and he said because this is what you ordered „‚really „‚i showed him my receipt and he said well whos fries are these theni finally got the nasty tasting nuggets and some high fructose corn syrup aka dipping sauce and was on my way „‚i think we will stick to the meatless cheeseburgers next time"
"153","the worst service ever and im not a rude person at all i said please and thank you and i absolutely was not greeted whatsoever whoever that dumbass lady was that was working needs to take that stick out of her dont be mad at me cause you hate your job bitch lets not forget that everyone is replaceable including your miserable self it took every bit of me not to cuss her out id write a letter to corporate but she did not give me a receipt go figure right im not one to talk down on people that works fast food because its not in my character to knock someones hustle but she really needs to get it together and for that i will not ever return to this mcdonalds ever again some bullshit oh and not only did i not get a receipt i didnt get a straw and instead ofpiece chicken nuggets i gotwhat in the fucking fuck fuck that mcdonalds"
"154","super slow service foods terrible like its been sitting and then reheated „‚everything is out napkins iced tea"
"155","i dont think this location deserves even one star „‚this is the filthiest mcdonalds i have ever visited „‚i have been to hundreds of different mcdonalds in numerous states as well asforeign countries i went to this location onfor breakfast „‚the first thing i noticed was that the floor was sticky a previous reviewer made a similar comment about the play area when i noticed this i said to myself this isnt right „‚then when i looked for a place to sit i spotted all the debris in the seat crevices and the floor there were also flies in the dining area which i had to repeatedly brush off my food „‚as for the food it seemed ok except this was the first time ever that i was given cold syrup for my hotcakes at a mcdonalds"
"156","horrible„‚the teenagers who work here are more interested in socializing than serving customers „‚i have been coming to this location for over a year because it is close to my housebut must say i will drive a little further now just so my order will be correct„‚i dont understandare suburb teenagers iqs going so far down that they cant get even master a cheeseburger fries and drink order „‚ i get excellent correct orders at maryland pkwy and trop location on my way to work „‚i challenge the owner if this location to order „‚a meal here and i would be beyond shocked if it is hot and correct „‚one example i ordered a cone a diet coke andcoffee „‚they give mecoffee „‚i saymy cone „‚he looks at the big bright screen with the order and „‚saysoh ya„‚gives me my cone „‚ then a few seconds pass „‚ my diet coke„‚once again another long hard look at the screen followed by a puzzled look and anotheruggggghh oh ya „‚need i say more „‚go somewhere else"
"157","this mcdonalds is horrible they are also down the street from my house you might just want to go to the next mcdonalds down the street less than half a mile maybe its brand new and just opened the reviews here speak for themselves no customer service whatsoever they always rush you at drivethru and never get the meal correct because they are all ignorant fucks who cant speak proper english or dont even know english they dont even give you time to respond on an order completion ive dined inside and it was fine however it was dirty around me on most occasions butof the time i eat there my meal is always incorrect always its ridiculous i found out its an ongoing problem especially at this store the fries are always pre sorted and they are a hot or miss they are really good or really bad which is really annoying the sandwich is the same sometimes they put fresh dripping meat on the bun and it makes it soggy which is disgusting most of the times the sandwich is just plain incorrect ive had to call corporate about the poor customer service ive had with employees and several managers at this location as well as the constant issue of my order being messed up which is very inconvenient in drivethru im telling you go to the next mcdonalds the employees here hate their job and are idiots"
"158","came in for breakfast and ordered a sausage egg biscuit with an iced mocha the cashier advised me that i couldnt get a mocha when i asked about a frappucino she said no to that too and then mentioned that they were out of orange juice essentially i had the choice of getting a sweet tea or a coke product with my breakfast sandwich and hash brown now that i have experienced sweet tea with a sausage egg biscuit i can say with all certainty that these two items should not be served togetherthis particular mcdonalds does not exude any of mcdonalds core philosophies such as variety or efficiency it seems poorly stocked poorly operated and under maintained the bathrooms are filthy and i would suggest buying a cheap pair of socks for your child because their socks will be coated in dirt afterminutes of playing the only thing that was good about my visit was my sausage egg biscuit sandwich the hash brown tasted as though it had fried in old rancid oil the sweet tea while good by itself shouldnt beofoptions available during the morning since someone or something broke the mccafe machine and ran away with the orange juiceseriously dont go here this is not the mcdonalds youre looking for"
"159","went there just to get coffee in the morning and the one thing i need in the morning coffee was apparently out of order"
"160","flavorless cardboard and meat like substance „‚ unfit for human consumption„‚ „‚ „‚i gave irvine last try and its worse than ever"
"161","no just no i understand that the food i order will never ever come out like it looks in the picture but gadaam dont mean you gotta give me burnt buns on both my mcdoubles women i told you no pickles and what did i get probably the largest slices in the bunch now i get its „‚morning your tired well im tired too when i say good morning at the window i expect some kinda of acknowledgement"
"162","in consistent quality late nights the food is bad but during busy hours its good"
"163","horrible service to the extent that i had to come on and write about a mcdonalds lol"
"164","brand new and sparkling clean with a very modern feel not sure how long the lime green walls will last they are bright service was decent and the food was ok its still mcdonalds but they seem to be trying to carry more healthy alternatives"
"165","toxic dump in food quality and employee humanitywork efforttypically i do not eat mcdonalds food yet similar to the experience of others trapped at northside hospital there is no other option if you are hungry outside of the hospital cafeteria hours of operation due to a relatives stay and my visitsovernights forweeks i too found myself trapped and therefore forced to buy at mcdonalds mostly my visits were for coffee or ice cream sundaes however last night for the first time i ordered food grilled chicken salad i returned itthe meat smelled badly this did not surprise me and only enforced my resolve to avoid chain food restaurantswhat did surprise me and absolutely shocked me was the customer service offered by employeeshow in the world can you be an employee here and not for one minute or even a second acknowledge the obvious fact that you work inside a hospital then consider what that means for each and every person that approaches your counter to order how you do not see them in fact that you easily dismiss them is beyond my comprehension to understand how you lost your sense of humanity in all honestly should cause you to pause and contemplate thisare you not aware that you are reflecting how you measure within you your own sense of dignitywithin my and familyfriends of patient at northside hospital for the pastweeks each and every time ithey had to place an order i they waswere subjected to mcdonalds toxic business model in food which now has transferred we learned into their employees not once was i thanked for giving my order not once was i thanked when delivered my order yet at every visit i waited and witnessed employee behaviors that were readily displayed and relayed in body language effort toward actual work and obvious attitude not only toward me but guests in front of me god forbid i happened to have question in reference to the menu employee response blank stare shrug looking behind them at menu only to turn back around with a blank stare andor shrug again „‚god forbid on separate occasions i happened to ask for a spoonnapkinstraw last night i happened to ask for my drink please after receiving my salad and waiting for longer than normal yikes you think i had asked him to draw bloodone more detail regardless if i arrive at am am or betweenpmpm this mcdonalds is always consistently filthy not just dirty but filthycan anyone lift a broom to sweep up the garbage in the servicecooking area also in the dining roomcan anyone clean the crud surrounding the plastic display case for cookies already its beenweeks and that crud is still smeared dried just grosswashdisinfect the countertops payment pads straw holders everywhere spills occur including areas customers touch every hour get it every single hour get a cleaning only employee this employee will do nothing but be the ocd employee you need just stop this atrociously dirtydisgusting feeding trough you call a restaurant you should be ashamed„northside hospital„‚you are responsible for allowing this restaurant to wallow within your walls how many more years will you ignore not only the unhealthy food options mcdonalds supplies but to continue to allow a daily dose of deliberate and diligent unhealthy negative and put upon attitudes from employees to be delivered to family friends and employees that are there only because they care and are there for your patients how this does not cause you to react and act is beyond mein my world with so many options available this place would be gonelike today certainly not any longer than tomorrowthis toxic waste site is dumping daily doses of negativity inhumanity its seeping and reverberating within the walls of this hospital i know you feel it"
"166","we should have read reveiws first im amazed that one store in a chain can be so consistently terrible we have now had our order screwed up three times in a row thats three for three we have an endlessly growing tab of free stuff from every time we have called to complain abour our order being wrong „‚the last time we got home with the incorrect order it was actually the store manager who completely screwed our stuff up if you are going to bother hitting this restaurant against all recommmendation that you do notmake sure before you leave that the incompetent workers havent botched your food „‚i guarentee that they have"
"167","the worst service ive ever seen they act like youre bothering them ill drive an extra couple of miles to go to another mcdonalds or just go somewhere else"
"168","ive enjoyed a couple eggwhite delights here but not much else i usually really like mcdonalds salads as a quick relatively healthy option on a tight budget but the salads ive had at this particular restaurant has been just kind of gross"
"169","i wish i can give zero stars freezing cold reheated soggy fries and twice fried chewy nuggetsstraight to my trash can"
"170","nice mcdonalds inside but they have a remote that locks the bathroom ghetto much"
"171","holy crap dudes this is the fastest mcdonalds in atlanta „‚i placed a special order during rush hour two egg mcmuffins with no canadian bacon and by the time i reached the pickup window someone was already walking my order to the windowand they even got it just the way i like itno eggshells"
"172","it had been a while since i had stopped at this particular one „‚they have done a total remodel and it looks fairly fresh „‚stopped by about „‚pm and went through drive thru „‚i thought id try a new mcwrap „‚got a fry and a spicy chick along with that „‚ i was asked to pull up after sitting at the window for a few minutes and they would bring me „‚my order „‚that is fine except aboutminutes later im still waiting „‚so i go to check what is going on and end up waiting anotherminutes „‚ it appeared i wasnt the only one that had a long wait in drive thru as well „‚ mcwrapi was disappointed „‚looked like a wrap that had grilled chicken sprinkle with some mixed greens then had sweet and sour sauce dumped in it"
"173","cold fries and best of all a customer came in and ordered the table he wanted had some kind of white creamy junk on it he went and told someone and they handed him a rag lol"
"174","so horrible no matter what time of day it is youll always get food that has been prepared so messy"
"175","typical mcdonalds restaurant located at powers ferry and new northside on the north end of the perimeter i have always avoided this location due to the fact that im not really a fan of mcdonalds in general but the other morning on my way to work i was craving some breakfast and only had time to pull into a drivethru and grab a quick bite to go since mcdonalds is the only place with a drivethru on my way to work i stopped by here to grab their specialbacon eggcheese biscuits forthe food was ok just tasted like you would expect mcdonalds food to taste the service was pretty good at the drivethru they were friendly enough but what really gets me is how lazy has america become that the drivethru welcome and what would you like to order has to be automated at mcdonalds"
"176","worst mcdonalds in vegas bad service consistently and sloppy made foodtrys and still crap wtf i am sure the hobos panhandling outside could do better they seriously must go out of the way to fuck things up i just want to know what other mcdonalds this franchisee owns so i can avoid those also"
